X,Y,OBJECTID,location,suburb,playground,Housing
174.769734857361811,-41.28487259941604,1,Salamanca Road,Kelburn,Kelburn Park Play Area,No
174.769465027972785,-41.319939664027338,2,Farnham Street,Mornington,Farnham Street Play Area,No
174.764823373140757,-41.306009120288977,3,Harrison Street,Brooklyn,Harrison Play Area,No
174.773402336986095,-41.321987724310944,4,Jeypore Street,Berhampore,Jeypore Street Play Area,No
174.768103743602524,-41.299679439257481,5,Brooklyn Road,Brooklyn,Central Park Play Area,No
174.758230351043949,-41.311712722649581,6,Mitchell Street,Brooklyn,Mitchell Street Play Area,No
174.805004321338686,-41.208713454937843,7,Abilene Crescent,Churton Park,Churton Park and Play Area,No
174.809364282974144,-41.210770988329962,8,Churton Drive,Churton Park,John Walker Park Play Area,No
174.809214163532033,-41.205539071131881,9,Burbank Crescent,Churton Park,Burbank Crescent Play Area,No
174.808036495324302,-41.214616749226664,10,Chorley Grove,Churton Park,Chorley Grove Play Area,No
174.821627016138848,-41.208906293973307,11,Mandeville Crescent,Grenada Village,Grenada Village Community Centre Play Area,No
174.83761044186781,-41.186342822527848,12,Nassau Avenue,Grenada North,Grenada North Park Play Area,No
174.80047185532527,-41.217472365669018,13,Branscombe Street,Johnsonville,Branscombe Street Play Area,No
174.759709298860486,-41.343160024808604,14,Happy Valley Road,Owhiro Bay,Owhiro Bay Play Area,No
174.770281707028971,-41.343647150171357,15,Reef Street,Island Bay,Shorland Park Play Area,No
174.768933317410159,-41.29521056119988,16,Palmer Street,Aro Valley,Aro Valley Community Centre & Palmer Play Area,No
174.786650766306792,-41.33866129526745,17,Houghton Bay Road,Houghton Bay,Houghton Bay Road Play Area,No
174.78327266409238,-41.331214615091909,18,Houghton Bay Road,Houghton Bay,Sinclair Park Play Area,No
174.779018051272487,-41.343034756840908,19,Buckley Road/Orchy Crescent,Southgate,Orchy Crescent Play Area,No
174.786102181236032,-41.32386613484671,20,Sutherland Crescent,Melrose,Melrose Park Play Area,No
174.764304577619157,-41.316827179913005,21,The Ridgway,Mornington,Vogelmorn Park Play Area,No
174.774753645397993,-41.313118289347464,22,Hanson Street,Newtown,Hanson Street Play Area,No
174.818290618710165,-41.23136045311341,23,Lyndfield Lane,Newlands,Lyndfield Lane Play Area,No
174.81529114741781,-41.22659015949035,24,Salford Street,Newlands,Salford Street Play Area,No
174.831077939275474,-41.225457544017495,25,Cheyne Walk,Newlands,Cheyne Walk Play Area,No
174.825080127733656,-41.22324371865389,26,Kenmore Street,Newlands,Kenmore Street Play Area,No
174.825403780064619,-41.23059006999609,27,Edgecombe Street,Newlands,Edgecombe Street Play Area,No
174.795530645947963,-41.329243058097695,28,Lyall Parade,Lyall Bay,Lyall Bay Beach Youth Centre Play Area,No
174.783905899024063,-41.315370552375875,29,Regent Street,Newtown,Carrara Park Play Area,No
174.783912060006713,-41.319630186714676,30,Daniell Street/Manchester Street,Newtown,Newtown Park Play Area,No
174.785076898615017,-41.308632780737206,31,Owen Street,Newtown,Vice Regal Play Area,No
174.813181786025524,-41.219453092687452,32,Helston Road,Paparangi,Helston Park Play Area,No
174.79807815653669,-41.224945783433661,33,Kipling Street,Johnsonville,Kipling Street Play Area,No
174.803515652003341,-41.229337875224836,34,Fraser Avenue,Johnsonville,Gilbert Young Play Area,No
174.795638578988303,-41.236107338179607,35,Kanpur Road/Rajkot Terrace,Broadmeadows,Kanpur Road Play Area,No
174.769084397499284,-41.313726050183227,36,Krull Street,Vogeltown,Krull Street Play Area,No
174.82343003042206,-41.303139123706522,37,Miramar North Road,Miramar,Centennial Park Miramar North Play Area,No
174.780133696859934,-41.313546802456109,38,Constable Street/Riddiford Street,Newtown,Constable Street Play Area,No
174.76114584454595,-41.252696047724406,39,Silverstream Road,Croften Downs,Silverstream Road Play Area,No
174.79877870410894,-41.296520311521498,40,Alexandra Road,Hataitai,Alexandra Road Play Area,No
174.795687794689655,-41.303698945787495,41,Waipapa Road,Hataitai,Hataitai Community House Waipapa Play Area,No
174.717932230307639,-41.290482894770946,42,Allington Road,Karori,Allington Road Play Area,No
174.739531741370257,-41.287585572637774,43,Beauchamp Street/Campbell Street,Karori,Ben Burn Park Play Area,No
174.723789712691683,-41.297181768576557,44,Hazlewood Avenue,Karori,Hazlewood Avenue Play Area,No
174.725540453921127,-41.286618111948258,45,Karori Road,Karori,Karori Park Play Area,No
174.726852137251342,-41.278575874753493,46,Montgomery Avenue,Karori,Montgomery Avenue Play Area,No
174.717274550083488,-41.285363745933999,47,Buxton Avenue/Paddington Grove,Karori,Paddington Grove Play Area,No
174.752251335924626,-41.295671641967004,48,Highbury Road,Highbury,George Denton Park Play Area,No
174.760020308783623,-41.29390104093774,49,Holloway Road,Aro Valley,Holloway Road Play Area,No
174.817089441065178,-41.3175634089555,50,Chelsea Street,Miramar,Chelsea Play Area,No
174.823713964666865,-41.32079605849281,51,Wilberforce Street,Miramar,Wilberforce Street Play Area,No
174.818193325313928,-41.30670827227992,52,Akaroa Drive,Maupuia,Akaroa Drive Play Area,No
174.794975671577589,-41.316645561476413,53,Evans Bay Parade/Kilbirnie Crescent,Kilbirnie,Kilbirnie Play Area,No
174.815581988598467,-41.323907803317887,54,Crawford Green,Miramar,Crawford Green Park Play Area,No
174.790281845931588,-41.290777242902237,55,Oriental Parade,Oriental Bay,Freyberg Pool & Beach Play Area,No
174.773700676372385,-41.247866613293446,56,Ottawa Road,Ngaio,Cummings Park Play Area,No
174.754815904508007,-41.282869518937368,57,Creswick Terrace,Northland,Creswick Terrace Play Area,No
174.800140728853052,-41.289109570480228,58,The Crescent,Roseneath,The Crescent Play Area,No
174.834784148491792,-41.322404667106525,59,Monro Street,Seatoun,Churchill Park Play Area,No
174.834718842934478,-41.324899287734787,60,Hector Street/Ludlam Street,Seatoun,Seatoun Park Play Area,No
174.823961010981208,-41.33743543697868,61,Breaker Bay Road,Breaker Bay,Breaker Bay Play Area,No
174.813723432351736,-41.336193313978818,62,Kekerenga Street,Strathmore Park,Kekerenga Street Play Area,No
174.818749724524082,-41.330086366232791,63,Monorgan Road/Walden Street,Strathmore Park,Monorgan Road Play Area,No
174.817242257339387,-41.330358294028834,64,Nuku Street/Raukawa Street,Strathmore Park,Nuku Street Play Area,No
174.817112310157114,-41.333407220109862,65,Taiaroa Street,Strathmore Park,Taiaroa Street Play Area,No
174.82632450039398,-41.171546716421155,66,Oxford Street,Tawa,Coronation Park Play Area,No
174.829979660924323,-41.157647507640618,67,Linden Avenue/Main Road,Tawa,Duncan Park Play Area,No
174.828423186480364,-41.163704455393265,68,Davies Street,Tawa,Grasslees Reserve Play Area,No
174.815977494823159,-41.174749275522402,69,Larsen Crescent,Tawa,Larsen Park Play Area,No
174.8205668297621,-41.172882533709114,70,Park Avenue,Tawa,Lyndhurst Park Play Area,No
174.836294933974244,-41.161402495384294,71,Mahoe Street,Tawa,Mahoe St Park Play Area,No
174.827752312736919,-41.176132647325197,72,Taylor Terrace,Tawa,Taylor Park Play Area,No
174.835381341114271,-41.156411067629016,73,Coates Street/Mexted Terrace,Tawa,Tui Park Play Area,No
174.823922874928883,-41.163288226685623,74,Davidson Crescent/Victory Crescent,Tawa,Victory Crescent Park Play Area,No
174.839854786690836,-41.149927323471012,75,Tremewan Street,Tawa,Wall Park Play Area,No
174.77319297764106,-41.261854490099942,76,Wadestown Road,Wadestown,Wadestown Play Centre Play Area,No
174.762483746684609,-41.274229566704904,77,Glamorgan Street,Northland,Glamorgan Street Play Area,No
174.762600956965741,-41.271055381303164,78,Pembroke Road/Monmouth Way,Wilton,Pembroke Road/Monmouth Way Play Area,No
174.759562360364811,-41.269061029475452,79,Warwick Street,Wilton,Warwick Street Play Area,No
174.785795415703859,-41.29676700416374,80,Elizabeth Street,Mt Victoria,Elizabeth Street Play Area,No
174.782701432303526,-41.313455447652331,81,Constable Street/Daniell Street,Newtown,Te Ara Hou Flats,Yes
174.81498021640877,-41.181663776789868,82,Brasenose Place,Tawa,Brasenose Place Play Area,No
174.807401076248055,-41.249901955708843,83,Homebush Road,Khandallah,Homebush Park Play Area,No
174.785510247612279,-41.251144398089821,84,Cockayne Road,Khandallah,Nairnville Park Play Area,No
174.78774588202748,-41.241561893673293,85,Woodmancote Road,Khandallah,Khandallah Park/Johnsonville Park Play Area,No
174.790839030963753,-41.246852521009281,86,Ganges Road,Khandallah,Khandallah Library Play Area,No
174.828288896293657,-41.184751066267204,87,Boscobel Lane,Tawa,Willowbank Reserve Play Area,No
174.776270091073229,-41.292332777618377,88,Cuba Street,Te Aro,Cuba Street Play Area,No
174.789107402936764,-41.298857978506057,89,Pirie Street,Mt Victoria,Pirie Street Play Area,No
174.765507008556938,-41.283481188917037,90,Glenmore Street,Kelburn,Botanical Gardens of Wellington Play Area,No
174.801670317561729,-41.302792902708433,91,Kainui Road/Treasure Grove,Hataitai,Treasure Island/Kainui Reserve Play Area,No
174.786010610391656,-41.291759337442819,92,Waitangi Park,Wellington Central,Waitangi Park Play Area,No
174.779762510085305,-41.27139861171225,93,Katherine Mansfield Park,Thorndon,Katherine Mansfield Park,No
174.832734999859497,-41.297191063192471,94,Scorching Bay,Karaka Bay,Scorching Bay Play Area,No
174.830344265577281,-41.215211361120865,95,Woodridge - Newlands,Woodridge,Woodridge Play Area,No
174.778283276416801,-41.322348409545569,96,Rintoul Street Villas (87 units),Berhampore,Rintoul Villas,Yes
174.815075613376564,-41.311085691005673,97,"Booth Street, Miramar",Miramar,Booth street flats,Yes
174.772421286854325,-41.300606828097031,98,"Hopper Street, Mt Cook",Mt Cook,Arlington Apartments,Yes
174.780812068150254,-41.318606899158056,99,Mansfield Street,Newtown,Mansfield Flats,Yes
174.775895187143163,-41.295315734297077,100,Te Aro,Te Aro,Cobblestone Park Play Area,No
174.802530728800889,-41.199315103324587,101,Amesbury Drive,Churton Park,Amesbury Drive Play Area,No
174.732853426700757,-41.284826913072926,102,Darwin Street,Karori,Darwin Street Play Area,Yes
174.77465217961992,-41.307254719404938,103,Hutchison Road,Mt Cook,Mt Cook Play Area,No
174.778880410330373,-41.286518498904812,104,Frank Kitts Park,Wellington Central,Frank Kitts Playground,No
174.775515944495055,-41.324534454277746,105,Granville Flats,Berhampore,Granville Flats Play Area,Yes
174.769722464902856,-41.296129823778685,106,Aro St,Aro Valley,Pukehinau Flats Play Area,Yes
174.804070818283037,-41.222251918749862,107,Frankmoore Avenue,Johnsonville,Johnsonville Memorial Park Play Area,No
174.763035995696811,-41.323816538324273,108,Quebec Street,Kingston,Quebec Street Play Area,No
174.755394333947493,-41.271347476279651,109,Surrey Street,Wilton,Surrey Street Play Area,No
174.762755971845138,-41.265141590730195,110,Wilton Road,Wilton,Izard Park Play Area,No
174.840704266787469,-41.163220708732531,111,Raroa Park and Play Area (Tawa),Tawa,Raroa Park Play Area (Tawa),No
174.83251827077342,-41.171368452896736,112,Green Acres,Tawa,Pikitanga Close Play Area,No
174.705183057055223,-41.268013610259679,113,Makara School,Makara,Makara School Play Area,No
